id;Route;ID_CFPE;Chaniage;Landmark;NAMOBJ;Length;KORIDOR;distance;BM_ID;Long;Lat
0;KKL-JSH02;KKL-JSH02-00; -   ;;JSH-KKL-02;7390.79;KKL;0;BM-JSH-KKL-02-P1000-00;112.926;-8.1162
1;KKL-JSH02;KKL-JSH02-01;1,000.00;;JSH-KKL-02;7390.79;KKL;1000;BM-JSH-KKL-02-P1000-01;112.935;-8.1202
2;KKL-JSH02;KKL-JSH02-02;2,000.00;;JSH-KKL-02;7390.79;KKL;2000;BM-JSH-KKL-02-P1000-02;112.941;-8.1265
3;KKL-JSH02;KKL-JSH02-03;3,000.00;;JSH-KKL-02;7390.79;KKL;3000;BM-JSH-KKL-02-P1000-03;112.945;-8.1341
4;KKL-JSH02;KKL-JSH02-04;4,000.00;;JSH-KKL-02;7390.79;KKL;4000;BM-JSH-KKL-02-P1000-04;112.953;-8.1385
5;KKL-JSH02;KKL-JSH02-05;5,000.00;;JSH-KKL-02;7390.79;KKL;5000;BM-JSH-KKL-02-P1000-05;112.961;-8.1422
6;KKL-JSH02;KKL-JSH02-06;6,000.00;;JSH-KKL-02;7390.79;KKL;6000;BM-JSH-KKL-02-P1000-06;112.968;-8.1483
7;KKL-JSH02;KKL-JSH02-07;7,000.00;;JSH-KKL-02;7390.79;KKL;7000;BM-JSH-KKL-02-P1000-07;112.976;-8.1524
0;KKL-JSH02;KKL-JSH02-08;7,390.79;;JSU-KKL;26450.71;KKL;0;BM-JSU-KKL-P1000-001;112.979;-8.1543
1;KKL-JSH02;KKL-JSH02-09;8,390.79;;JSU-KKL;26450.71;KKL;1000;BM-JSU-KKL-P1000-002;112.982;-8.1623
2;KKL-JSH02;KKL-JSH02-10;9,390.79;;JSU-KKL;26450.71;KKL;2000;BM-JSU-KKL-P1000-003;112.988;-8.1689
3;KKL-JSH02;KKL-JSH02-11;10,390.79;;JSU-KKL;26450.71;KKL;3000;BM-JSU-KKL-P1000-004;112.996;-8.1726
4;KKL-JSH02;KKL-JSH02-12;11,390.79;;JSU-KKL;26450.71;KKL;4000;BM-JSU-KKL-P1000-005;113.004;-8.175
5;KKL-JSH02;KKL-JSH02-13;12,390.79;;JSU-KKL;26450.71;KKL;5000;BM-JSU-KKL-P1000-006;113.012;-8.1776
6;KKL-JSH02;KKL-JSH02-14;13,390.79;;JSU-KKL;26450.71;KKL;6000;BM-JSU-KKL-P1000-007;113.017;-8.1795
7;KKL-JSH02;KKL-JSH02-15;14,390.79;;JSU-KKL;26450.71;KKL;7000;BM-JSU-KKL-P1000-008;113.023;-8.1824
8;KKL-JSH02;KKL-JSH02-16;15,390.79;;JSU-KKL;26450.71;KKL;8000;BM-JSU-KKL-P1000-009;113.03;-8.1879
9;KKL-JSH02;KKL-JSH02-17;16,390.79;;JSU-KKL;26450.71;KKL;9000;BM-JSU-KKL-P1000-010;113.034;-8.1958
10;KKL-JSH02;KKL-JSH02-18;17,390.79;;JSU-KKL;26450.71;KKL;10000;BM-JSU-KKL-P1000-011;113.038;-8.2035
11;KKL-JSH02;KKL-JSH02-19;18,390.79;;JSU-KKL;26450.71;KKL;11000;BM-JSU-KKL-P1000-012;113.042;-8.2111
12;KKL-JSH02;KKL-JSH02-20;19,390.79;;JSU-KKL;26450.71;KKL;12000;BM-JSU-KKL-P1000-013;113.044;-8.2194
13;KKL-JSH02;KKL-JSH02-21;20,390.79;;JSU-KKL;26450.71;KKL;13000;BM-JSU-KKL-P1000-014;113.047;-8.2275
14;KKL-JSH02;KKL-JSH02-22;21,390.79;;JSU-KKL;26450.71;KKL;14000;BM-JSU-KKL-P1000-015;113.051;-8.2355
15;KKL-JSH02;KKL-JSH02-23;22,390.79;;JSU-KKL;26450.71;KKL;15000;BM-JSU-KKL-P1000-016;113.056;-8.2434
16;KKL-JSH02;KKL-JSH02-24;23,390.79;;JSU-KKL;26450.71;KKL;16000;BM-JSU-KKL-P1000-017;113.063;-8.2484
17;KKL-JSH02;KKL-JSH02-25;24,390.79;;JSU-KKL;26450.71;KKL;17000;BM-JSU-KKL-P1000-018;113.072;-8.2511
18;KKL-JSH02;KKL-JSH02-26;25,390.79;;JSU-KKL;26450.71;KKL;18000;BM-JSU-KKL-P1000-019;113.078;-8.2554
19;KKL-JSH02;KKL-JSH02-27;26,390.79;;JSU-KKL;26450.71;KKL;19000;BM-JSU-KKL-P1000-020;113.087;-8.2547
20;KKL-JSH02;KKL-JSH02-28;27,390.79;;JSU-KKL;26450.71;KKL;20000;BM-JSU-KKL-P1000-021;113.096;-8.255
21;KKL-JSH02;KKL-JSH02-29;28,390.79;;JSU-KKL;26450.71;KKL;21000;BM-JSU-KKL-P1000-022;113.105;-8.2532
22;KKL-JSH02;KKL-JSH02-30;29,390.79;;JSU-KKL;26450.71;KKL;22000;BM-JSU-KKL-P1000-023;113.114;-8.2539
23;KKL-JSH02;KKL-JSH02-31;30,390.79;;JSU-KKL;26450.71;KKL;23000;BM-JSU-KKL-P1000-024;113.117;-8.2613
24;KKL-JSH02;KKL-JSH02-32;31,390.79;;JSU-KKL;26450.71;KKL;24000;BM-JSU-KKL-P1000-025;113.113;-8.2695
25;KKL-JSH02;KKL-JSH02-33;32,390.79;;JSU-KKL;26450.71;KKL;25000;BM-JSU-KKL-P1000-026;113.11;-8.2778
26;KKL-JSH02;KKL-JSH02-34;33,390.79;;JSU-KKL;26450.71;KKL;26000;BM-JSU-KKL-P1000-027;113.107;-8.2863
27;KKL-JSH02;KKL-JSH02-35;33,841.50;;JSU-KKL;26450.71;KKL;;;;
